Class,B1,B2,B3,B4,B5,B6,B7
low,747,829,974,1047,1199,1287,1421
low,767,823,901,972,962,1091,1339
low,790,818,887,1007,891,841,1532
low,669,835,1102,1145,1438,1392,1350
low,548,683,884,882,988,828,776
low,976,985,1020,950,1220,987,772
low,640,717,823,794,1089,922,669
low,712,903,1262,1299,1648,1530,1482
low,821,836,888,943,1005,1120,1282
low,468,534,694,624,902,725,818
low,432,543,768,739,988,804,821
low,718,852,1109,1141,1615,1391,1126
low,651,769,1021,1019,1397,1213,955
low,494,611,786,782,1205,1122,679
low,538,646,892,824,1508,1275,973
low,614,686,809,781,1078,881,801
low,562,673,905,847,1196,1088,1030
low,973,983,1013,951,1263,1013,847
low,516,688,954,977,1139,958,870
low,371,531,810,839,1268,1056,844
low,745,791,878,841,1168,1032,830
low,376,519,819,820,1326,1053,848
low,332,505,860,867,1403,1245,1019
low,348,543,893,908,1386,1300,993
low,329,547,989,1039,1543,1519,1313
low,297,510,971,1034,1113,963,1324
low,860,986,1271,1349,1614,1479,1178
low,573,693,1014,1053,1641,1674,1103
low,296,536,969,1039,1604,1624,1242
soil,351,447,749,532,1893,1325,850
soil,233,323,665,431,2494,2216,748
soil,294,381,642,417,2166,2232,709
soil,270,373,680,534,2193,1739,788
soil,158,226,446,265,2343,2468,537
soil,287,359,585,398,2505,2644,614
soil,97,157,443,240,1337,1342,509
soil,191,285,531,397,1454,1347,714
soil,258,340,579,401,2281,2209,630
soil,230,298,542,327,2562,2638,554
soil,306,367,581,371,1863,1908,649
soil,277,343,543,351,2204,2277,603
soil,249,316,551,326,2563,2781,536
soil,270,350,596,398,2769,2898,649
soil,257,337,603,372,2452,2394,626
soil,244,328,574,375,2627,2865,578
soil,234,299,536,314,2454,2650,532
soil,266,353,668,437,2562,2894,662
soil,245,348,588,418,2701,2848,597
soil,335,449,752,586,1668,2107,811
soil,179,263,513,309,2047,1993,484
soil,261,334,608,368,2182,2350,551
soil,316,385,602,398,2168,2460,620
soil,304,383,689,457,1965,2133,615
soil,282,422,765,559,2509,2825,504
veg,299,369,692,433,2439,1277,551
veg,332,416,673,501,2237,1201,739
veg,392,474,745,596,2445,1173,823
veg,460,493,656,458,2191,1146,700
veg,490,493,675,420,2341,1744,932
veg,308,376,616,403,1683,1325,786
veg,250,325,664,387,2416,1140,501
veg,291,379,678,442,1954,1259,571
veg,314,400,652,433,2317,1130,550
veg,583,611,813,587,3115,1803,1148
veg,362,418,727,482,2812,1659,797
veg,499,597,957,894,3078,1950,1481
veg,240,319,618,370,2665,1160,487
veg,251,325,604,365,2827,1434,550
veg,232,301,592,352,3064,1241,498
veg,225,296,606,361,3062,1186,492
veg,196,275,534,335,2894,1258,510
veg,163,237,529,291,3094,956,404
veg,256,355,648,420,2637,1343,602
veg,280,368,666,449,2542,1360,575
veg,336,429,690,497,2511,1104,591
veg,240,312,590,354,2937,1035,445
veg,291,362,660,389,2628,1224,581
veg,327,392,678,429,2792,1328,629
veg,270,350,672,410,2686,1316,572
veg,297,381,664,479,2453,1271,750
veg,242,310,593,351,2707,1272,548
veg,226,307,619,369,2780,1294,513
veg,241,309,579,355,2517,1205,548
high,2384,2728,3221,3730,3828,4419,3039
high,2622,2934,3717,3973,3213,3118,3776
high,1288,1429,1779,2053,2670,3162,2479
high,1446,1581,1832,1968,2666,3398,3157
high,2435,2787,3699,4125,3473,3527,3633
high,2253,2576,3146,3613,3590,4050,4012
high,2243,3007,3771,4261,3942,3980,3400
high,2865,3319,4151,4729,4666,4322,3703
high,2783,3205,3937,4417,4277,4649,4404
high,2530,2855,3487,3846,3436,3962,4016
high,2553,2930,3598,3979,4022,4912,4473
high,2248,2675,3437,3896,3876,4502,4315
high,3149,3326,3948,4102,3946,3494,2780
high,2972,3424,4148,4435,4073,4005,4242
high,2002,2617,3246,3692,4001,3501,3401
high,2405,2792,3386,3763,3754,3908,3686
high,2044,2372,3007,3399,3409,4285,4412
high,2123,2495,3157,3474,3520,4045,4105
high,2072,2340,2898,3328,3521,3890,2801
high,2128,2399,2953,3354,3484,4507,4369
high,1902,2124,2645,3103,3295,3748,3048
high,2337,2690,3292,3692,3481,3801,3943
high,2138,2540,3257,3671,3719,4776,4488
